@RELATION training_keyboard

    @ATTRIBUTE pacman_posx NUMERIC
    @ATTRIBUTE pacman_posy NUMERIC
    @ATTRIBUTE go_north {0,1}
    @ATTRIBUTE go_south {0,1}
    @ATTRIBUTE go_east {0,1}
    @ATTRIBUTE go_west {0,1}
    @ATTRIBUTE stop {0,1}
    @ATTRIBUTE living_ghosts_1 {1, 0}
    @ATTRIBUTE ghost_1_posx NUMERIC
    @ATTRIBUTE ghost_1_posy NUMERIC
    @ATTRIBUTE living_ghosts_2 {1, 0}
    @ATTRIBUTE ghost_2_posx NUMERIC
    @ATTRIBUTE ghost_2_posy NUMERIC
    @ATTRIBUTE living_ghosts_3 {1, 0}
    @ATTRIBUTE ghost_3_posx NUMERIC
    @ATTRIBUTE ghost_3_posy NUMERIC
    @ATTRIBUTE living_ghosts_4 {1, 0}
    @ATTRIBUTE ghost_4_posx NUMERIC
    @ATTRIBUTE ghost_4_posy NUMERIC
    @ATTRIBUTE distance_dot NUMERIC
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE move {North, South, East, West, Stop}
    @ATTRIBUTE next_score NUMERIC
    @ATTRIBUTE next_move {North, South, East, West, Stop}

@data
1,11,0,1,1,0,1,0,6,5,0,6,9,0,8,11,0,14,6,14,0,Stop,-1,Stop
1,11,0,1,1,0,1,0,6,4,0,6,10,0,7,11,0,14,6,14,-1,Stop,-2,East
1,11,0,1,1,0,1,0,6,5,0,5,10,0,7,11,0,14,6,14,-2,East,-3,East
2,11,0,0,1,1,1,0,6,4,0,5,10,0,7,11,0,14,7,13,-3,East,-4,East
3,11,0,0,1,1,1,0,6,3,0,6,10,0,7,11,0,15,7,12,-4,East,-5,East
4,11,0,0,1,1,1,0,6,3,0,5,10,0,6,11,0,15,7,11,-5,East,-6,East
5,11,0,1,1,1,1,0,6,4,0,6,10,0,7,11,0,16,7,10,-6,East,193,East
6,11,0,1,1,1,1,0,6,4,0,6,9,1,5,1,0,15,7,9,193,East,192,East
7,11,0,0,1,1,1,0,5,4,0,6,10,1,5,1,0,15,8,8,192,East,191,West
8,11,0,0,1,1,1,0,5,5,0,6,10,1,5,1,0,15,9,7,191,West,190,West
7,11,0,0,1,1,1,0,5,5,0,6,11,1,5,1,0,15,8,8,190,West,389,South
6,11,0,1,1,1,1,0,5,5,1,3,1,1,5,1,0,15,7,9,389,South,388,South
6,10,1,1,0,1,1,0,6,5,1,3,1,1,5,1,0,16,7,8,388,South,387,South
6,9,1,1,1,1,1,0,5,5,1,3,1,1,5,1,0,17,7,7,387,South,386,South
6,8,1,1,1,1,1,0,5,5,1,3,1,1,5,1,0,17,7,6,386,South,385,East
6,7,1,0,1,1,1,0,6,5,1,3,1,1,5,1,0,17,7,5,385,East,384,East
7,7,1,0,1,1,1,0,6,5,1,3,1,1,5,1,0,17,8,4,384,East,383,South
8,7,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,17,7,3,383,South,382,South
8,6,1,1,1,0,1,0,6,4,1,3,1,1,5,1,0,17,8,2,382,South,381,West
8,5,1,1,1,1,1,0,6,4,1,3,1,1,5,1,0,18,8,3,381,West,380,West
7,5,0,1,1,1,1,0,6,3,1,3,1,1,5,1,0,18,9,4,380,West,379,South
6,5,0,1,1,1,1,0,7,3,1,3,1,1,5,1,0,18,8,5,379,South,378,South
6,4,1,1,1,1,1,0,6,3,1,3,1,1,5,1,0,18,9,6,378,South,577,East
6,3,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,17,9,7,577,East,576,East
7,3,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,17,8,6,576,East,575,East
8,3,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,17,7,5,575,East,574,East
9,3,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,17,7,4,574,East,573,East
10,3,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,16,7,3,573,East,572,North
