@RELATION training_tutorial1

    @ATTRIBUTE pacman_posx NUMERIC
    @ATTRIBUTE pacman_posy NUMERIC
    @ATTRIBUTE go_north {0,1}
    @ATTRIBUTE go_south {0,1}
    @ATTRIBUTE go_east {0,1}
    @ATTRIBUTE go_west {0,1}
    @ATTRIBUTE stop {0,1}
    @ATTRIBUTE living_ghosts_1 {1, 0}
    @ATTRIBUTE ghost_1_posx NUMERIC
    @ATTRIBUTE ghost_1_posy NUMERIC
    @ATTRIBUTE living_ghosts_2 {1, 0}
    @ATTRIBUTE ghost_2_posx NUMERIC
    @ATTRIBUTE ghost_2_posy NUMERIC
    @ATTRIBUTE living_ghosts_3 {1, 0}
    @ATTRIBUTE ghost_3_posx NUMERIC
    @ATTRIBUTE ghost_3_posy NUMERIC
    @ATTRIBUTE living_ghosts_4 {1, 0}
    @ATTRIBUTE ghost_4_posx NUMERIC
    @ATTRIBUTE ghost_4_posy NUMERIC
    @ATTRIBUTE distance_dot NUMERIC
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE move {North, South, East, West, Stop}
    @ATTRIBUTE next_score NUMERIC
    @ATTRIBUTE next_move {North, South, East, West, Stop}

@data
1,11,0,1,1,0,1,0,6,5,0,6,9,0,8,11,0,14,6,14,0,East,-1,East
2,11,0,0,1,1,1,0,5,5,0,6,9,0,8,11,0,14,6,13,-1,East,-2,East
3,11,0,0,1,1,1,0,5,5,0,6,9,0,7,11,0,14,6,12,-2,East,-3,East
4,11,0,0,1,1,1,0,5,4,0,6,10,0,6,11,0,14,6,11,-3,East,-4,East
5,11,0,1,1,1,1,0,4,4,0,6,10,0,7,11,0,14,7,10,-4,East,195,South
6,11,0,1,1,1,1,0,4,4,0,6,9,1,5,1,0,15,7,9,195,South,194,South
6,10,1,1,0,1,1,0,5,4,0,6,8,1,5,1,0,15,8,8,194,South,193,East
6,9,1,1,1,1,1,0,4,4,0,7,8,1,5,1,0,16,8,7,193,East,192,East
7,9,0,1,1,1,1,0,4,4,0,8,8,1,5,1,0,15,8,6,192,East,191,West
8,9,0,1,1,1,1,0,3,4,0,7,8,1,5,1,0,15,7,5,191,West,190,East
7,9,0,1,1,1,1,0,2,4,0,8,8,1,5,1,0,15,7,6,190,East,189,West
8,9,0,1,1,1,1,0,2,4,0,7,8,1,5,1,0,15,7,5,189,West,188,South
7,9,0,1,1,1,1,0,2,5,0,7,8,1,5,1,0,15,7,6,188,South,387,West
7,8,1,1,1,1,1,0,1,5,1,3,1,1,5,1,0,16,7,5,387,West,386,West
6,8,1,1,1,1,1,0,1,4,1,3,1,1,5,1,0,16,7,6,386,West,385,West
5,8,1,1,1,1,1,0,2,4,1,3,1,1,5,1,0,16,8,7,385,West,384,West
4,8,1,1,1,1,1,0,3,4,1,3,1,1,5,1,0,16,9,8,384,West,383,West
3,8,1,1,1,1,1,0,3,5,1,3,1,1,5,1,0,17,9,9,383,West,382,West
2,8,1,1,1,1,1,0,3,5,1,3,1,1,5,1,0,17,8,10,382,West,381,South
1,8,1,1,1,0,1,0,4,5,1,3,1,1,5,1,0,17,8,11,381,South,380,South
1,7,1,1,1,0,1,0,5,5,1,3,1,1,5,1,0,17,8,10,380,South,379,South
1,6,1,1,0,0,1,0,4,5,1,3,1,1,5,1,0,16,8,9,379,South,378,East
1,5,1,1,1,0,1,0,5,5,1,3,1,1,5,1,0,16,8,10,378,East,377,East
2,5,0,1,1,1,1,0,5,4,1,3,1,1,5,1,0,16,9,9,377,East,376,East
3,5,0,1,1,1,1,0,5,5,1,3,1,1,5,1,0,15,9,8,376,East,375,East
4,5,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,15,9,7,375,East,374,East
5,5,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,16,9,6,374,East,573,East
6,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,17,9,5,573,East,572,East
7,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,16,9,4,572,East,571,East
8,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,16,8,3,571,East,570,East
9,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,15,8,2,570,East,569,East
10,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,15,8,1,569,East,568,East
11,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,15,9,2,568,East,567,East
12,5,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,14,9,3,567,East,566,East
13,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,15,9,4,566,East,565,North
14,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,16,9,5,565,North,564,North
14,6,1,1,0,0,1,1,1,1,1,3,1,1,5,1,0,16,9,4,564,North,563,East
14,7,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,15,9,3,563,East,562,North
15,7,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,15,8,4,562,North,561,West
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,0,East,-1,East
13,10,0,1,1,1,1,0,5,5,0,5,12,0,12,6,0,13,12,0,-1,East,-2,South
14,10,0,1,1,1,1,0,5,5,0,5,12,0,11,6,0,13,12,0,-2,South,-3,South
14,9,1,1,1,1,1,0,5,6,0,5,12,0,12,6,0,12,12,0,-3,South,-4,South
14,8,1,1,1,1,1,0,4,6,0,5,12,0,12,6,0,11,12,0,-4,South,-5,South
14,7,1,1,1,0,1,0,3,6,0,5,12,0,13,6,0,11,12,0,-5,South,-6,West
14,6,1,1,1,1,1,0,3,5,0,6,12,0,13,6,0,12,12,0,-6,West,193,East
13,6,0,1,1,1,1,0,3,6,0,5,12,1,5,1,0,12,12,0,193,East,192,North
14,6,1,1,1,1,1,0,3,7,0,6,12,1,5,1,0,13,12,0,192,North,191,North
14,7,1,1,1,0,1,0,2,7,0,5,12,1,5,1,0,12,12,0,191,North,190,West
14,8,1,1,1,1,1,0,2,6,0,5,12,1,5,1,0,11,12,0,190,West,189,West
13,8,1,0,1,1,1,0,2,7,0,5,12,1,5,1,0,11,12,0,189,West,188,West
12,8,0,0,1,1,1,0,2,6,0,5,12,1,5,1,0,11,12,0,188,West,187,West
11,8,0,0,1,1,1,0,2,6,0,6,12,1,5,1,0,10,12,0,187,West,186,West
10,8,0,0,1,1,1,0,2,6,0,6,12,1,5,1,0,10,12,0,186,West,185,West
9,8,0,0,1,1,1,0,2,5,0,7,12,1,5,1,0,9,12,0,185,West,184,West
8,8,0,0,1,1,1,0,3,5,0,8,12,1,5,1,0,9,13,0,184,West,183,West
7,8,0,0,1,1,1,0,4,5,0,9,12,1,5,1,0,8,13,0,183,West,182,West
6,8,0,0,1,1,1,0,5,5,0,10,12,1,5,1,0,8,12,0,182,West,181,West
5,8,1,0,1,1,1,0,5,6,0,10,12,1,5,1,0,8,13,0,181,West,180,South
4,8,1,1,1,1,1,0,4,6,0,9,12,1,5,1,0,8,14,0,180,South,179,South
4,7,1,1,0,1,1,0,5,6,0,8,12,1,5,1,0,8,14,0,179,South,178,East
4,6,1,1,1,1,1,0,6,6,0,8,12,1,5,1,0,8,14,0,178,East,177,East
5,6,0,1,1,1,1,0,6,6,0,7,12,1,5,1,0,8,13,0,177,East,376,West
6,6,0,1,1,1,1,1,1,1,0,8,12,1,5,1,0,9,13,0,376,West,375,West
5,6,0,1,1,1,1,1,1,1,0,9,12,1,5,1,0,8,13,0,375,West,374,West
4,6,1,1,1,1,1,1,1,1,0,9,12,1,5,1,0,8,13,0,374,West,373,North
3,6,1,1,1,1,1,1,1,1,0,8,12,1,5,1,0,8,12,0,373,North,372,North
3,7,1,1,1,1,1,1,1,1,0,8,13,1,5,1,0,7,12,0,372,North,371,North
3,8,1,1,1,1,1,1,1,1,0,8,14,1,5,1,0,6,12,0,371,North,370,North
3,9,1,1,1,1,1,1,1,1,0,7,14,1,5,1,0,7,12,0,370,North,369,North
3,10,1,1,1,1,1,1,1,1,0,7,14,1,5,1,0,8,12,0,369,North,368,North
3,11,1,1,0,1,1,1,1,1,0,7,14,1,5,1,0,8,12,0,368,North,367,North
3,12,1,1,0,1,1,1,1,1,0,6,14,1,5,1,0,8,13,0,367,North,366,North
3,13,1,1,0,1,1,1,1,1,0,5,14,1,5,1,0,9,13,0,366,North,365,East
3,14,0,1,1,1,1,1,1,1,0,5,14,1,5,1,0,10,13,0,365,East,564,East
4,14,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,14,0,564,East,563,East
5,14,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,14,0,563,East,562,East
6,14,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,14,0,562,East,561,East
14,1,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,0,East,99,North
15,1,1,0,1,1,1,0,10,13,0,12,13,0,14,13,0,17,13,1,99,North,198,North
15,2,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,198,North,297,East
15,3,0,1,1,0,1,0,10,13,0,14,13,0,13,13,0,16,13,1,297,East,396,East
16,3,0,0,1,1,1,0,11,13,0,14,14,0,13,14,0,17,13,1,396,East,495,East
